dataset,notes,typo?,id,sentence,sent_length
LI,,,32.1.martin.1a.g.01,Kerry attempted to study physics.,7
LI,,,32.1.martin.1a.g.02,Jimmy attempted to weave a basket.,8
LI,,,32.1.martin.1a.g.03,Brittany attempted to touch the porcupine.,8
LI,,,32.1.martin.1a.g.04,Frank attempted to eat a triple fudge sundae.,10
LI,,,32.1.martin.1a.g.05,Kat attempted to keep her mail.,8
LI,,,32.1.martin.1a.g.06,Phillip attempted to watch a movie.,8
LI,,,32.1.martin.1a.g.07,Vivian attempted to write stories.,7
LI,,,32.1.martin.1a.g.08,Tommy attempted to take a picture.,8
LI,,,32.1.martin.20a.*.01,He seems to that Kim solved the problem.,10
LI,,,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.,14
LI,,,32.1.martin.20a.*.03,She seems to that Garrett should be punished for lying.,12
LI,,,32.1.martin.20a.*.04,I appear to that Data is an unsafe driver.,11
LI,,,32.1.martin.20a.*.05,I seem to that Robert can't be trusted.,10
LI,,,32.1.martin.20a.*.06,She appears to that Kyle cheated on his homework.,11
LI,,,32.1.martin.20a.*.07,They seem to that Sandra hates cooking.,9
LI,,,32.1.martin.20a.*.08,He appears to that Erin enjoys swimming.,9
LI,,,32.1.martin.20a.g.01,It seems to him that Kim solved the problem.,11
LI,,,32.1.martin.20a.g.02,It appears to them that Chris is the right person for the job.,15
LI,,,32.1.martin.20a.g.03,It seems to her that Garrett should be punished for lying.,13
LI,,,32.1.martin.20a.g.04,It appears to me that Dana is an unsafe driver.,12
LI,,,32.1.martin.20a.g.05,It seems to me that Robert can't be trusted.,11
LI,,,32.1.martin.20a.g.06,It appears to her that Kyle cheated on his homework.,12
LI,,,32.1.martin.20a.g.07,It seems to them that Sandra hates cooking.,10
LI,,,32.1.martin.20a.g.08,It appears to him that Erin enjoys swimming.,10
LI,,,32.1.martin.22a.g.01,Ginny remembered to bring the beer.,8
LI,,,32.1.martin.22a.g.02,Thomas tried to stop the thief.,8
LI,,,32.1.martin.22a.g.03,Susan attempted to perform a backflip.,8
LI,,,32.1.martin.22a.g.04,Bobby planned to attend college.,7
LI,,,32.1.martin.22a.g.05,Sarah hoped to go to the party.,9
LI,,,32.1.martin.22a.g.06,Scott intended to run for class president.,9
LI,,,32.1.martin.22a.g.07,Vanessa refused to take out the garbage.,9
LI,,,32.1.martin.22a.g.08,Michael managed to drive his car.,8
LI,,,32.1.martin.23a.g.01,Gino believed Rebecca to be the best.,9
LI,,,32.1.martin.23a.g.02,Anthony believed Dawn to be intelligent.,8
LI,,,32.1.martin.23a.g.03,Charlene believed Shawn to be helpful.,8
LI,,,32.1.martin.23a.g.04,Marty believed Carla to be trustworthy.,8
LI,,,32.1.martin.23a.g.05,Jessica believed Brad to be vain.,8
LI,,,32.1.martin.23a.g.06,Charles believed Faith to be unhappy.,8
LI,,,32.1.martin.23a.g.07,Lacey believed John to be jealous.,8
LI,,,32.1.martin.23a.g.08,Victor believed Dana to be the youngest.,9
LI,,,32.1.martin.25b.g.01,Sarah convinced Bill that he would go to the party.,12
LI,,,32.1.martin.25b.g.02,Joe convinced Sue that she would eat her lunch.,11
LI,,,32.1.martin.25b.g.03,Juan convinced Maria that she would finish her shopping.,11
LI,,,32.1.martin.25b.g.04,Betty convinced Fred that he would wash the car.,11
LI,,,32.1.martin.25b.g.05,Cindy convinced Charles that he would go to the bank.,12
LI,,,32.1.martin.25b.g.06,Debra convinced Elliot that he would wash the dishes.,11
LI,,,32.1.martin.25b.g.07,Elaine convinced Francis that he would take a shower.,11
LI,,,32.1.martin.25b.g.08,Mindy convinced George that he would finish the novel.,11
LI,,,32.1.martin.26a.??.01,Ginny remembered to have bought the beer.,9
LI,,,32.1.martin.26a.??.02,Thomas tried to have stopped the thief.,9
LI,,,32.1.martin.26a.??.03,Susan attempted to have performed a backflip.,9
LI,(this works),,32.1.martin.26a.??.04,Bobby planned to have attended college.,8
LI,,,32.1.martin.26a.??.05,Sarah hoped to have gone to the party.,10
LI,(this works),,32.1.martin.26a.??.06,Scott intended to have run for class president.,10
LI,,,32.1.martin.26a.??.07,Vanessa refused to have taken out the garbage.,10
LI,(this works),,32.1.martin.26a.??.08,Michael managed to have driven his car.,9
LI,,,32.1.martin.26b.??.01,Sarah convinced Bill to have gone to the party.,11
LI,,,32.1.martin.26b.??.02,Joe convinced Sue to have eaten her lunch.,10
LI,,,32.1.martin.26b.??.03,Juan convinced Maria to have finished her shopping.,10
LI,,,32.1.martin.26b.??.04,Betty convinced Fred to have washed the car.,10
LI,,,32.1.martin.26b.??.05,Cindy convinced Charles to have gone to the bank.,11
LI,,,32.1.martin.26b.??.06,Debra convinced Elliot to have washed the dishes.,10
LI,,,32.1.martin.26b.??.07,Elaine convinced Francis to have taken a shower.,10
LI,,,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.,10
LI,,,32.1.martin.27b.g.01,Sarah convinced Bill that he will have gone to the party by the time he goes to bed this evening.,22
LI,,,32.1.martin.27b.g.02,Celia convinced Brad that he will have eaten dinner by the time she gets home.,17
LI,,,32.1.martin.27b.g.03,Benny convinced Cindy that she will have gotten dressed by the time he wakes up.,17
LI,,,32.1.martin.27b.g.04,Cameron convinced Velma that she will have finished her coffee by the time the place closes.,18
LI,,,32.1.martin.27b.g.05,Judy convinced Edith that she will have forgotten about Rick by the time Christmas comes around.,18
LI,,,32.1.martin.27b.g.06,Jan convinced Emile that he will have gotten better by the time he has to go to school.,20
LI,(ambiguous antecedent for she),,32.1.martin.27b.g.07,The father convinced the mother that she will have forgiven her daughter by the time she comes home for a visit.,23
LI,(ambiguous antecedent for he),,32.1.martin.27b.g.08,The principal convinced the teacher that he will have finished grading before he goes on vacation.,18
LI,,,32.1.martin.28b.??.01,Sarah convinced Bill that he would have gone to the party by the time he goes to bed this evening.,22
LI,,,32.1.martin.28b.??.02,Celia convinced Brad that he would have eaten dinner by the time she gets home.,17
LI,,,32.1.martin.28b.??.03,Benny convinced Cindy that she would have gotten dressed by the time he wakes up.,17
LI,,,32.1.martin.28b.??.04,Cameron convinced Velma that she would have finished her coffee by the time the place closes.,18
LI,,,32.1.martin.28b.??.05,Judy convinced Edith that she would have forgotten about Rick by the time Christmas comes around.,18
LI,,,32.1.martin.28b.??.06,Jan convinced Emile that he would have gotten better by the time he has to go to school.,20
LI,(ambiguous antecedent for she),,32.1.martin.28b.??.07,The father convinced the mother that she would have forgiven her daughter by the time she comes home for a visit.,23
LI,(ambiguous antecedent for he),,32.1.martin.28b.??.08,The principal convinced the teacher that he would have finished grading before he goes on vacation.,18
LI,,,32.1.martin.2c.*.01,Sarah saw pictures of.,6
LI,,,32.1.martin.2c.*.02,Jimmy saw baskets of.,6
LI,,,32.1.martin.2c.*.03,Brittany touched plenty of.,6
LI,,,32.1.martin.2c.*.04,Frank ate mountains of.,6
LI,,,32.1.martin.2c.*.05,Kat kept tons of.,6
LI,,,32.1.martin.2c.*.06,Phillip saw movies of.,6
LI,,,32.1.martin.2c.*.07,Vivian wrote stories of.,6
LI,,,32.1.martin.2c.*.08,Tommy pictured memories of.,6
LI,,,32.1.martin.39a.*.01,Gino believed Rebecca to win the game.,9
LI,,,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.,9
LI,,,32.1.martin.39a.*.03,Charlene believed Shawn to write the paper.,9
LI,,,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.,9
LI,,,32.1.martin.39a.*.05,Jessica believed Brad to start the car.,9
LI,,,32.1.martin.39a.*.06,Charles believed Faith to smash the bag.,9
LI,,,32.1.martin.39a.*.07,Lacey believed John to eat the food.,9
LI,,(prob. intended 'throw out'),32.1.martin.39a.*.08,Victor believed Dana to throw the trash.,9
LI,,,32.1.martin.65a.g.01,John believes without a doubt that his team will win.,12
LI,,,32.1.martin.65a.g.02,Emma thought for a moment that her friend was at the door.,14
LI,,,32.1.martin.65a.g.03,Bill heard from Sarah that their boss was fired.,11
