dataset,discard,notes,phenomenon,gramm_id,gramm_sentence,ungramm_id,ungramm_sentence
LI,,VERIFY,,32.1.martin.1a.g.01,Kerry attempted to study physics.,32.1.martin.2c.*.01,Sarah saw pictures of.
LI,,VERIFY,,32.1.martin.1a.g.02,Jimmy attempted to weave a basket.,32.1.martin.2c.*.02,Jimmy saw baskets of.
LI,,VERIFY,,32.1.martin.1a.g.03,Brittany attempted to touch the porcupine.,32.1.martin.2c.*.03,Brittany touched plenty of.
LI,,VERIFY,,32.1.martin.1a.g.04,Frank attempted to eat a triple fudge sundae.,32.1.martin.2c.*.04,Frank ate mountains of.
LI,,VERIFY,,32.1.martin.1a.g.05,Kat attempted to keep her mail.,32.1.martin.2c.*.05,Kat kept tons of.
LI,,VERIFY,,32.1.martin.1a.g.06,Phillip attempted to watch a movie.,32.1.martin.2c.*.06,Phillip saw movies of.
LI,,VERIFY,,32.1.martin.1a.g.07,Vivian attempted to write stories.,32.1.martin.2c.*.07,Vivian wrote stories of.
LI,,VERIFY,,32.1.martin.1a.g.08,Tommy attempted to take a picture.,32.1.martin.2c.*.08,Tommy pictured memories of.
LI,,,,32.1.martin.20a.g.01,It seems to him that Kim solved the problem.,32.1.martin.20a.*.01,He seems to that Kim solved the problem.
LI,,,,32.1.martin.20a.g.02,It appears to them that Chris is the right person for the job.,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.
LI,,,,32.1.martin.20a.g.03,It seems to her that Garrett should be punished for lying.,32.1.martin.20a.*.03,She seems to that Garrett should be punished for lying.
LI,,,,32.1.martin.20a.g.04,It appears to me that Dana is an unsafe driver.,32.1.martin.20a.*.04,I appear to that Data is an unsafe driver.
LI,,,,32.1.martin.20a.g.05,It seems to me that Robert can't be trusted.,32.1.martin.20a.*.05,I seem to that Robert can't be trusted.
LI,,,,32.1.martin.20a.g.06,It appears to her that Kyle cheated on his homework.,32.1.martin.20a.*.06,She appears to that Kyle cheated on his homework.
LI,,,,32.1.martin.20a.g.07,It seems to them that Sandra hates cooking.,32.1.martin.20a.*.07,They seem to that Sandra hates cooking.
LI,,,,32.1.martin.20a.g.08,It appears to him that Erin enjoys swimming.,32.1.martin.20a.*.08,He appears to that Erin enjoys swimming.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.01,Ginny remembered to bring the beer.,32.1.martin.26a.??.01,Ginny remembered to have bought the beer.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.02,Thomas tried to stop the thief.,32.1.martin.26a.??.02,Thomas tried to have stopped the thief.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.03,Susan attempted to perform a backflip.,32.1.martin.26a.??.03,Susan attempted to have performed a backflip.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.04,Bobby planned to attend college.,32.1.martin.26a.??.04,Bobby planned to have attended college.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.05,Sarah hoped to go to the party.,32.1.martin.26a.??.05,Sarah hoped to have gone to the party.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.06,Scott intended to run for class president.,32.1.martin.26a.??.06,Scott intended to have run for class president.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.07,Vanessa refused to take out the garbage.,32.1.martin.26a.??.07,Vanessa refused to have taken out the garbage.
LI,,"[original unmatched, SSA matched]",,32.1.martin.22a.g.08,Michael managed to drive his car.,32.1.martin.26a.??.08,Michael managed to have driven his car.
LI,,[unmatchable],,32.1.martin.23a.g.01,Gino believed Rebecca to be the best.,32.1.martin.39a.*.01,Gino believed Rebecca to win the game.
LI,,[unmatchable],,32.1.martin.23a.g.02,Anthony believed Dawn to be intelligent.,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.
LI,,[unmatchable],,32.1.martin.23a.g.03,Charlene believed Shawn to be helpful.,32.1.martin.39a.*.03,Charlene believed Shawn to write the paper.
LI,,[unmatchable],,32.1.martin.23a.g.04,Marty believed Carla to be trustworthy.,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.
LI,,[unmatchable],,32.1.martin.23a.g.05,Jessica believed Brad to be vain.,32.1.martin.39a.*.05,Jessica believed Brad to start the car.
LI,,[unmatchable],,32.1.martin.23a.g.06,Charles believed Faith to be unhappy.,32.1.martin.39a.*.06,Charles believed Faith to smash the bag.
LI,,[unmatchable],,32.1.martin.23a.g.07,Lacey believed John to be jealous.,32.1.martin.39a.*.07,Lacey believed John to eat the food.
LI,,[unmatchable],,32.1.martin.23a.g.08,Victor believed Dana to be the youngest.,32.1.martin.39a.*.08,Victor believed Dana to throw the trash.
LI,,,,32.1.martin.25b.g.01,Sarah convinced Bill that he would go to the party.,32.1.martin.26b.??.01,Sarah convinced Bill to have gone to the party.
LI,,,,32.1.martin.25b.g.02,Joe convinced Sue that she would eat her lunch.,32.1.martin.26b.??.02,Joe convinced Sue to have eaten her lunch.
LI,,,,32.1.martin.25b.g.03,Juan convinced Maria that she would finish her shopping.,32.1.martin.26b.??.03,Juan convinced Maria to have finished her shopping.
LI,,,,32.1.martin.25b.g.04,Betty convinced Fred that he would wash the car.,32.1.martin.26b.??.04,Betty convinced Fred to have washed the car.
