,id,sentence,dataset,num_flips
9,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.,LI,48
10,32.1.martin.20a.*.03,She seems to that Garrett should be punished for lying.,LI,42
11,32.1.martin.20a.*.04,I appear to that Data is an unsafe driver.,LI,2
12,32.1.martin.20a.*.05,I seem to that Robert can't be trusted.,LI,40
37,32.1.martin.23a.g.06,Charles believed Faith to be unhappy.,LI,2
50,32.1.martin.26a.??.03,Susan attempted to have performed a backflip.,LI,92
52,32.1.martin.26a.??.05,Sarah hoped to have gone to the party.,LI,92
53,32.1.martin.26a.??.06,Scott intended to have run for class president.,LI,28
54,32.1.martin.26a.??.07,Vanessa refused to have taken out the garbage.,LI,2
55,32.1.martin.26a.??.08,Michael managed to have driven his car.,LI,30
56,32.1.martin.26b.??.01,Sarah convinced Bill to have gone to the party.,LI,64
57,32.1.martin.26b.??.02,Joe convinced Sue to have eaten her lunch.,LI,106
58,32.1.martin.26b.??.03,Juan convinced Maria to have finished her shopping.,LI,92
59,32.1.martin.26b.??.04,Betty convinced Fred to have washed the car.,LI,98
60,32.1.martin.26b.??.05,Cindy convinced Charles to have gone to the bank.,LI,98
61,32.1.martin.26b.??.06,Debra convinced Elliot to have washed the dishes.,LI,102
62,32.1.martin.26b.??.07,Elaine convinced Francis to have taken a shower.,LI,102
63,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.,LI,100
80,32.1.martin.2c.*.01,Sarah saw pictures of.,LI,50
81,32.1.martin.2c.*.02,Jimmy saw baskets of.,LI,40
82,32.1.martin.2c.*.03,Brittany touched plenty of.,LI,6
83,32.1.martin.2c.*.04,Frank ate mountains of.,LI,106
84,32.1.martin.2c.*.05,Kat kept tons of.,LI,2
85,32.1.martin.2c.*.06,Phillip saw movies of.,LI,96
86,32.1.martin.2c.*.07,Vivian wrote stories of.,LI,102
87,32.1.martin.2c.*.08,Tommy pictured memories of.,LI,26
89,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.,LI,4
90,32.1.martin.39a.*.03,Charlene believed Shawn to write the paper.,LI,52
91,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.,LI,14
92,32.1.martin.39a.*.05,Jessica believed Brad to start the car.,LI,2
93,32.1.martin.39a.*.06,Charles believed Faith to smash the bag.,LI,94
94,32.1.martin.39a.*.07,Lacey believed John to eat the food.,LI,12
95,32.1.martin.39a.*.08,Victor believed Dana to throw the trash.,LI,44
106,32.1.martin.65b.*.03,Bill heard from Sarah their boss was fired.,LI,16
108,32.1.martin.65b.*.05,Thomas read in the paper the stock market crashed.,LI,24
110,32.1.martin.65b.*.07,David learned from the internet Lindsay Lohan is back in rehab.,LI,82
120,32.1.martin.66b.*.01,It is illegal one to criticize the government.,LI,8
124,32.1.martin.66b.*.05,It is silly one to sing in the shower.,LI,18
126,32.1.martin.66b.*.07,It is normal one to be afraid of the dentist.,LI,86
127,32.1.martin.66b.*.08,It is unfair one to judge the less fortunate.,LI,112
136,32.1.martin.69b.*.01,My belief Kim is clever is sincere.,LI,78
144,32.1.martin.77.g.01,How likely to win the race is John?,LI,34
145,32.1.martin.77.g.02,How likely to get the promotion is Elizabeth?,LI,78
146,32.1.martin.77.g.03,How likely to win the election is Kristin?,LI,2
147,32.1.martin.77.g.04,How likely to buy the car is Sam?,LI,90
148,32.1.martin.77.g.05,How likely to sell the house is Diane?,LI,72
149,32.1.martin.77.g.06,How likely to pass the class is Alex?,LI,78
150,32.1.martin.77.g.07,How likely to break the record is Ellen?,LI,92
151,32.1.martin.77.g.08,How likely to take the job is Nancy?,LI,92
152,32.1.martin.79.*.01,How likely to be a riot is there?,LI,52
153,32.1.martin.79.*.02,How likely to be a meeting is there?,LI,80
154,32.1.martin.79.*.03,How likely to be a strike is there?,LI,44
155,32.1.martin.79.*.04,How likely to be a party is there?,LI,92
156,32.1.martin.79.*.05,How likely to be a stock market crash is there?,LI,22
