,id,sentence,num_flips,flip_rate
48,32.1.martin.26a.??.01,Ginny remembered to have bought the beer.,4,0.4
51,32.1.martin.26a.??.04,Bobby planned to have attended college.,10,1.0
53,32.1.martin.26a.??.06,Scott intended to have run for class president.,12,1.2
54,32.1.martin.26a.??.07,Vanessa refused to have taken out the garbage.,2,0.2
55,32.1.martin.26a.??.08,Michael managed to have driven his car.,10,1.0
57,32.1.martin.26b.??.02,Joe convinced Sue to have eaten her lunch.,2,0.2
58,32.1.martin.26b.??.03,Juan convinced Maria to have finished her shopping.,6,0.6
63,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.,4,0.4
80,32.1.martin.2c.*.01,Sarah saw pictures of.,10,1.0
81,32.1.martin.2c.*.02,Jimmy saw baskets of.,6,0.6
83,32.1.martin.2c.*.04,Frank ate mountains of.,4,0.4
85,32.1.martin.2c.*.06,Phillip saw movies of.,10,1.0
86,32.1.martin.2c.*.07,Vivian wrote stories of.,10,1.0
87,32.1.martin.2c.*.08,Tommy pictured memories of.,12,1.2
88,32.1.martin.39a.*.01,Gino believed Rebecca to win the game.,2,0.2
89,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.,2,0.2
91,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.,4,0.4
92,32.1.martin.39a.*.05,Jessica believed Brad to start the car.,2,0.2
95,32.1.martin.39a.*.08,Victor believed Dana to throw the trash.,4,0.4
106,32.1.martin.65b.*.03,Bill heard from Sarah their boss was fired.,8,0.8
121,32.1.martin.66b.*.02,It is not wise one to skip class.,6,0.6
136,32.1.martin.69b.*.01,My belief Kim is clever is sincere.,4,0.4
137,32.1.martin.69b.*.02,The thought Brian is inept is accurate.,8,0.8
144,32.1.martin.77.g.01,How likely to win the race is John?,4,0.4
145,32.1.martin.77.g.02,How likely to get the promotion is Elizabeth?,12,1.2
146,32.1.martin.77.g.03,How likely to win the election is Kristin?,2,0.2
147,32.1.martin.77.g.04,How likely to buy the car is Sam?,12,1.2
148,32.1.martin.77.g.05,How likely to sell the house is Diane?,6,0.6
149,32.1.martin.77.g.06,How likely to pass the class is Alex?,4,0.4
