dataset,notes,typo?,id,sentence,judgement
LI,,,32.1.martin.1a.g.01,Kerry attempted to study physics.,1.467188
LI,,,32.1.martin.1a.g.02,Jimmy attempted to weave a basket.,1.29086
LI,,,32.1.martin.1a.g.03,Brittany attempted to touch the porcupine.,1.490671
LI,,,32.1.martin.1a.g.04,Frank attempted to eat a triple fudge sundae.,1.203261
LI,,,32.1.martin.1a.g.05,Kat attempted to keep her mail.,0.658771
LI,,,32.1.martin.1a.g.06,Phillip attempted to watch a movie.,1.060004
LI,,,32.1.martin.1a.g.07,Vivian attempted to write stories.,1.019069
LI,,,32.1.martin.1a.g.08,Tommy attempted to take a picture.,1.209572
LI,,,32.1.martin.20a.*.01,He seems to that Kim solved the problem.,-0.99994
LI,,,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.,-0.97511
LI,,,32.1.martin.20a.*.03,She seems to that Garrett should be punished for lying.,-0.84982
LI,,,32.1.martin.20a.*.04,I appear to that Data is an unsafe driver.,-1.52839
LI,,,32.1.martin.20a.*.05,I seem to that Robert can't be trusted.,-1.11398
LI,,,32.1.martin.20a.*.06,She appears to that Kyle cheated on his homework.,-1.00725
LI,,,32.1.martin.20a.*.07,They seem to that Sandra hates cooking.,-1.20682
LI,,,32.1.martin.20a.*.08,He appears to that Erin enjoys swimming.,-1.10381
LI,,,32.1.martin.20a.g.01,It seems to him that Kim solved the problem.,0.51082
LI,,,32.1.martin.20a.g.02,It appears to them that Chris is the right person for the job.,0.948524
LI,,,32.1.martin.20a.g.03,It seems to her that Garrett should be punished for lying.,0.825088
LI,,,32.1.martin.20a.g.04,It appears to me that Dana is an unsafe driver.,1.292313
LI,,,32.1.martin.20a.g.05,It seems to me that Robert can't be trusted.,1.257756
LI,,,32.1.martin.20a.g.06,It appears to her that Kyle cheated on his homework.,0.610221
LI,,,32.1.martin.20a.g.07,It seems to them that Sandra hates cooking.,0.589774
LI,,,32.1.martin.20a.g.08,It appears to him that Erin enjoys swimming.,0.654398
LI,,,32.1.martin.22a.g.01,Ginny remembered to bring the beer.,1.062301
LI,,,32.1.martin.22a.g.02,Thomas tried to stop the thief.,1.516629
LI,,,32.1.martin.22a.g.03,Susan attempted to perform a backflip.,1.252193
LI,,,32.1.martin.22a.g.04,Bobby planned to attend college.,1.532629
LI,,,32.1.martin.22a.g.05,Sarah hoped to go to the party.,1.363676
LI,,,32.1.martin.22a.g.06,Scott intended to run for class president.,1.387604
LI,,,32.1.martin.22a.g.07,Vanessa refused to take out the garbage.,1.401207
LI,,,32.1.martin.22a.g.08,Michael managed to drive his car.,0.948094
LI,,,32.1.martin.23a.g.01,Gino believed Rebecca to be the best.,0.800795
LI,,,32.1.martin.23a.g.02,Anthony believed Dawn to be intelligent.,0.738866
LI,,,32.1.martin.23a.g.03,Charlene believed Shawn to be helpful.,0.78117
LI,,,32.1.martin.23a.g.04,Marty believed Carla to be trustworthy.,1.337467
LI,,,32.1.martin.23a.g.05,Jessica believed Brad to be vain.,0.658391
LI,,,32.1.martin.23a.g.06,Charles believed Faith to be unhappy.,0.821418
LI,,,32.1.martin.23a.g.07,Lacey believed John to be jealous.,0.810824
LI,,,32.1.martin.23a.g.08,Victor believed Dana to be the youngest.,0.605418
LI,,,32.1.martin.25b.g.01,Sarah convinced Bill that he would go to the party.,0.00337
LI,,,32.1.martin.25b.g.02,Joe convinced Sue that she would eat her lunch.,-0.03206
LI,,,32.1.martin.25b.g.03,Juan convinced Maria that she would finish her shopping.,0.272747
LI,,,32.1.martin.25b.g.04,Betty convinced Fred that he would wash the car.,0.118707
LI,,,32.1.martin.25b.g.05,Cindy convinced Charles that he would go to the bank.,0.046821
LI,,,32.1.martin.25b.g.06,Debra convinced Elliot that he would wash the dishes.,0.554394
LI,,,32.1.martin.25b.g.07,Elaine convinced Francis that he would take a shower.,0.290808
LI,,,32.1.martin.25b.g.08,Mindy convinced George that he would finish the novel.,0.763224
LI,,,32.1.martin.26a.??.01,Ginny remembered to have bought the beer.,-0.56026
LI,,,32.1.martin.26a.??.02,Thomas tried to have stopped the thief.,-0.47727
LI,,,32.1.martin.26a.??.03,Susan attempted to have performed a backflip.,-0.68467
LI,(this works),,32.1.martin.26a.??.04,Bobby planned to have attended college.,0.086608
LI,,,32.1.martin.26a.??.05,Sarah hoped to have gone to the party.,0.037034
LI,(this works),,32.1.martin.26a.??.06,Scott intended to have run for class president.,-0.35121
LI,,,32.1.martin.26a.??.07,Vanessa refused to have taken out the garbage.,-0.82122
LI,(this works),,32.1.martin.26a.??.08,Michael managed to have driven his car.,0.000405
LI,,,32.1.martin.26b.??.01,Sarah convinced Bill to have gone to the party.,-0.66283
LI,,,32.1.martin.26b.??.02,Joe convinced Sue to have eaten her lunch.,-0.57702
LI,,,32.1.martin.26b.??.03,Juan convinced Maria to have finished her shopping.,-0.75198
LI,,,32.1.martin.26b.??.04,Betty convinced Fred to have washed the car.,-0.63327
LI,,,32.1.martin.26b.??.05,Cindy convinced Charles to have gone to the bank.,-0.72434
LI,,,32.1.martin.26b.??.06,Debra convinced Elliot to have washed the dishes.,-0.6982
LI,,,32.1.martin.26b.??.07,Elaine convinced Francis to have taken a shower.,-0.48537
LI,,,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.,-0.46137
LI,,,32.1.martin.27b.g.01,Sarah convinced Bill that he will have gone to the party by the time he goes to bed this evening.,-0.31325
LI,,,32.1.martin.27b.g.02,Celia convinced Brad that he will have eaten dinner by the time she gets home.,0.02797
LI,,,32.1.martin.27b.g.03,Benny convinced Cindy that she will have gotten dressed by the time he wakes up.,-0.27721
LI,,,32.1.martin.27b.g.04,Cameron convinced Velma that she will have finished her coffee by the time the place closes.,0.432365
LI,,,32.1.martin.27b.g.05,Judy convinced Edith that she will have forgotten about Rick by the time Christmas comes around.,0.396223
LI,,,32.1.martin.27b.g.06,Jan convinced Emile that he will have gotten better by the time he has to go to school.,-0.06054
